title,album,artist,time,genre,tempo,filename,year,language,isDL,label,vocal,instrumental,tag
Kærlighed,Kærlighed,ATYPISK,"=""00:02:52""",Pop,115,ATYPISK - Kærlighed.mp4,2019,Danish,1,ATYPISK,1,0,"Balanced,All Weather,All Season"
ATYPISK - Kærlighed ft. Gilli & Kesi,ATYPISK - Kærlighed ft. Gilli & Kesi,ATYPISK,"=""00:02:52""",Pop,115,ATYPISK - Kærlighed ft. Gilli & Kesi.mp4,2019,Danish,1,ATYPISK,1,0,"Balanced,All Weather,All Season"
"Alok, SOMETHING ELSE– I Wonder If You Know (Official Video) (Lyrics)","Alok, SOMETHING ELSE– I Wonder If You Know (Official Lyric Video)","Alok, Something Else","=""00:03:14""",Pop,122,"Alok, Something Else – I Wonder If You Know.mp4",2026,English,1,SMC,1,0,"Balanced,All Weather,All Season"
hvad skal verden med sådan en som mig?,hvad skal verden med sådan en som mig?,Andreas Odbjerg,"=""00:02:53""",Pop,98,Andreas Odbjerg - hvad skal verden med sådan en som mig l Min.mp4,2022,Danish,1,Andreas Odbjerg,1,0,"Balanced,All Weather,All Season"
Tusind Stykker,Jeg Er Jo Lige Her,Anne Linnet,"=""00:04:22""",Pop,128,Anne Linnet - Tusind Stykker.mp4,1988,English,1,Pladecompagniet,1,0,"Mainstream,All Weather,All Season,Youth/adult"
Du Gør Det Godt,Du Gør Det Godt,Basim,"=""00:02:35""",Pop,103,Basim - Du Gør Det Godt.mp4,2021,Danish,1,Universal Music,1,0,"Mainstream,All Weather,All Season,Youth/adult"
Ibiza (feat. B.O.C),Mere End Musik (feat. B.O.C),"Benny Jamz, Gilli, Kesi","=""00:03:50""",Pop,133,"Benny Jamz, Gilli, Kesi - Ibiza ft. B.O.C.mp4",2021,English,1,SMC,1,0,"Energetic,All Weather,All Season"
Ibiza,Mere End Musik,"Benny Jamz, Gilli, Kesi","=""00:03:50""",Pop,135,"Benny Jamz, Gilli, Kesi - Ibiza.mp4",2021,English,1,disco:wax,1,0,"Balanced,All Weather,All Season"
Skør,Skør,Bro,"=""00:03:14""",Pop,98,Bro - Skør.mp4,2019,Danish,1,Universal Music,1,0,"Mainstream,All Weather,All Season,Youth/adult"
Sydpå,Sydpå,Bro,"=""00:03:34""",Pop,100,Bro - Sydpå.mp4,2018,French,1,Universal,1,0,"Mainstream,All Weather,All Season,Youth/adult"
BAGLÆNS (Lyrics),BAGLÆNS,D1MA,"=""00:03:28""",Hip Hop,128,D1MA - BAGLÆNS (Lyrics).mp4,2022,English,1,"7ouma Records, Universal",1,0,"Pop,Mainstream,All Weather,All Season,Youth/adult"
Love Maria,Love Maria,Crazy Loop,"=""00:03:53""",Electronic,120,Crazy Loop - Love Maria.mp4,2023,English,1,Cat Music,1,0,"Pop Dance,Upbeat,All Weather,All Season,Youth/adult"
